"",,,,OLD,,
REGION,POSTCODE,WARD,POSTCODE,POSTCODE,MTAA/VILLAGE,KITONGOJI
"",,"Alimaua ""B"""
"",,"Mpakani ""A"""
"",,"Mpakani ""B"""
"",,Bwawani
"",,Mwenge
"",,Nzasa
KIGOGO,14118,Kigogo Kati
"",,Kigogo Mkwajuni
"",,Kigogo Mbuyuni
KAWE,14121,Mzimuni
"",,Ukwamani
"",,"Mbezi  Beach  ""A"""
"",,"Mbezi  Beach  ""B"""
KUNDUCHI,14122,Pwani
"",,Kilongawima
"",,Mtongani
"",,Tegeta
"",,Ununio
"",,Kondo
BUNJU,14125,Boko
"",,"Bunju ""A"""
"",,Kilungule
"",,Busihaya
"",,,,Dovya
"",,,,Mkoani
"",,MBWENI,14126,Maputo
"",,,,Mbweni
"",,,,Teta
"",,,,Malindi Estate
"",,,,Mpiji Mbweni
"",,MBEZI JUU,14128,Jogoo
"",,,,Ndumbwi
"",,,,Mbezi Mtoni
"",,,,Mbezi Kati
"",,,,Mbezi Juu
"",,MAKONGO,14129,Changanyikeni
"",,,,Mbuyuni
"",,,,Mlalakuwa
"",,,,Makongo
"",,WAZO,14130,Wazo
"",,,,Salasala
"",,,,Kilimahewa
"",,,,Madale
"",,,,Mivumoni
"",,,,Kisanga
"",,,,Kilimahewa Juu
"",,,,Nakasangwe
"",,MABWEPANDE,14134,"Bunju ""B'"
"",,,,Mabwe Pande
"",,,,Mjimpya
"",,,,Kihonzile
"",,,,Mbopo
TEMEKE,15,TEMEKE,15101,Maganga
"",,,,Matumbi
"",,,,Njaro
"",,,,Temeke
"",,SANDALI,15102,"Mamboleo ""A"""
"",,Sandali
"",,"Mamboleo ""B"""
"",,Mpogo
"",,Mwembeladu
"",,Tindwa
"",,Mkwida
"",,Veterinary
"",,Usalama
"",,Kimbunga
"",,Mwembemnofu
"",,Kisiwani
CHANG’OMBE,15103,Bora
"",,Toroli
"",,"Chang'ombe ""A"""
"",,"Chang'ombe ""B"""
KEKO,15104,"Keko ""B"""
"",,"Keko Mwanga ""A"""
"",,"Keko Mwanga ""B"""
"",,"Keko Magurumbasi ""A"""
"",,"Keko Magurumbasi ""B"""
MIBURANI,15105,Miburani
"",,Uwanja wa Taifa
"",,Wailes
"",,Keko Machungwa
"",,Mgulani (Keko Juu)
AZIMIO,15106,Azimio Kaskazini
"",,Azimio Kusini
"",,Kichangani
"",,Tambukareli
"",,Mji Mpya
"",,Mtongani
"",,Mtoni Unguja
"",,Mbuyuni
TANDIKA,15107,Tamla
"",,Maguruwe
"",,Kilimahewa
"",,Tandika
"",,Nyambwera
"",,Mabatini
MTONI,15108,Mtoni
"",,Sabasaba
"",,Bustani
"",,Relini
"",,Chaurembo
"",,Bokorani
KURASINI,15109,Shimo la Udongo
"",,Mivinjeni
"",,Minazini
"",,Kurasini
"",,Kiungani
MBAGALA KUU,15112,Kizuiani
"",,"Kibonde Maji ""B"""
"",,Kichemchem
"",,Jeshi la Wokovu
"",,Mbagala kuu mashariki
"",,Mbagala kuu Magharibi
"",,Mbagala kuu Kaskazini
"",,Makuka Kusini
"",,Makuka Kaskazini
"",,Mpakani
MBAGALA,15113,Mbagala
"",,Kizinga
"",,Mangaya
"",,Moringe
"",,Bughudadi
"",,Serenge
MAKANGARAWE,15114,Makangarawe
"",,Yombo Dovya
"",,Msakala
"",,Uwazi
"",,Mbonde
YOMBO VITUKA,15115,Yombo Vituka
"",,Sigara
"",,Machimbo
"",,Magogoni
"",,Mzambarauni
CHAMAZI,15116,Magengeni
"",,Mwembebamia
"",,Kiponza
"",,Kisewe
"",,Rufu
"",,Msufini
"",,Vigoa
"",,Dovya
"",,Mkondogwa
CHARAMBE,15117,Kurasini Mji Mpya
"",,"Nzasa ""B"""
"",,Rangi Tatu
"",,Machinjioni A
TOANGOMA,15118,Toangoma
"",,Malela
"",,Vikunai
"",,Masuliza
"",,Masaki
"",,Mikwambe
"",,Changanyikeni
"",,Mwapemba
"",,Ponde
"",,Kongowe
"",,Goroka 'A'
"",,Goroka 'B'
"",,Mzinga 'A'
"",,Mzinga 'B'
BUZA,15125,Buza
"",,Mji mpya
"",,Mashine ya maji
"",,Kidagaa
"",,Amani
KILAKALA,15127,Barabara ya Mwinyi
"",,Kilakala
"",,Kigunga
"",,Kiembesamaki
"",,Yombo reli
KIBURUGWA,15128,Juhudi
"",,Kiburugwa namba3
"",,Kwanyoka
"",,Kingugi
"",,Barabara ya Mwinyi
"",,Kiburugwa
KIJICHI,15129,Mgeni nani
"",,Misheni
"",,Mtoni kijichi
"",,Butiama
"",,Mwanamtoti
MIANZINI,15130,Majimatitu A
"",,Machinjioni
"",,Mponda
"",,Mianzini
Kibondemaji,15131,Majimatitu
"",,Kibondemaji A
"",,Mchikichini
"",,Kimbangulile
Kilungule,15132,Kilungule
"",,Nzasa A
"",,Majimatitu B
"",,Kwa mzungu
"",,,,,Uzombokoni
UBUNGO,16,Mburahati,16101,14117,Kisiwani
"",,,,,National Housing Corp
"",,,,,Barafu
"",,Sinza,16102,14114,"Sinza ""A"""
"",,,,,"Sinza ""B"""
"",,,,,"Sinza ""C"""
"",,,,,"Sinza ""D"""
"",,,,,"Sinza ""E"""
"",,Ubungo,16103,14115,Chuo Kikuu
"",,,,,Kisiwani
"",,,,,Kibo
"",,,,,Msewe
"",,,,,National Housing Corp.
"",,Kimara,16104,14120,Baruti
"",,,,,Kimara Baruti
"",,,,,Mavurunza
"",,,,,"Kilungule ""A"""
"",,,,,"Kilungule  ""B"""
"",,,,,Golani
"",,Saranga,16105,14131,Saranga
"",,,,,Upendo
"",,,,,"Kimara""B"""
"",,,,,Matangini
"",,,,,Stop Over
"",,,,,King'ongo
"",,,,,Michungwani
"",,,,,Ukombozi
"",,,,,Mji Mpya
"",,Makuburi,16106,14119,Mwongozo
"",,,,,Makoka
"",,,,,Kibangu
"",,,,,Makuburi Kibangu
"",,,,,Kajima
Makurumla,16107,14103,Kwa Jongo
"",,,Kimamba
"",,,Kilimahewa
"",,,Kagera
"",,,Mianzini
"",,,Sisi kwa Sisi
Manzese,16108,14105,Midizini
"",,,Kilimani
"",,,Mnazi Mmoja
"",,,Muungano
"",,,Uzuri
"",,,Mvuleni
"",,,Mwembeni
"",,,Chakula Bora
"",,,Tupendane
"",,,Mferejini
Mabibo,16109,14116,Mabibo
"",,,Jitegemee
"",,,Azimio
"",,,Kanuni
"",,,Matokeo
"",,,Mabibo Farasi
Kibamba,16110,14127,Kibwegere
"",,,Kibamba
"",,,Hondogo
"",,,Gogoni
"",,,Kiluvya
Kwembe,16111,14133,Kwembe
"",,,Mpakani
"",,,King'azi
"",,,Luguruni
"",,,Kisopwa
"",,,Njeteni
"",,,king'azi B
"",,,,,Mjimpya
"",,,,,Msakuzi
"",,,,,Mlongazila
"",,Goba,16112,14123,Goba
"",,,,,Matosa
"",,,,,Kulangwa
"",,,,,Kinzudi
"",,,,,Kunguru
"",,,,,Kibululu
"",,,,,Tegeta A
"",,,,,Muungano
"",,Mbezi,16113,14124,Msakuzi
"",,,,,Msumi
"",,,,,Mbezi Luis
"",,,,,Mpiji Magohe
"",,,,,Makabe
"",,,,,Mshikamano
"",,,,,Msakuzi Kusini
"",,,,,Luis
"",,Msigani,16114,14132,Temboni
